Name,Flaring,Weird,
5,Y,,
14,,Y,
15,Maybe,,
19,Maybe,,
21,Y,,
23,Y,,
32,Maybe,,
34,Maybe,,
35,Y,,
41,Maybe,,
110,Y,,
176,Maybe,,
225,Maybe,,
298,Maybe,,
314,Y,,
325,Y,,
395,Maybe,,
457,Y,,
536,Maybe,,
575,Maybe,,
593,Maybe,,
617,Maybe,,
852,Maybe,,
913,Maybe,,
944,Maybe,,
1417,Maybe,,
1645,Maybe,,
3672,Maybe,,
3746,Maybe,,
4003,Maybe,,
4245,Maybe,,
4313,Y,Y,
5020,Maybe,,
5159,Y,,
7405,Maybe,,
8060,Y,,
10223,Y,,
11085,,Y,
11154,,,Merger but not dealt with?
21847,Y,,
30950,Maybe,,
31144,Maybe,,
64824,Y,,