Name,Flared,Weird
3,Maybe?,
6,Maybe?,
10,Maybe?,
11,,Y - Analysis regions have wondered off
27,,Y - Very dark image
52,,Y - Analysis regions have wondered off
54,,Y - Analysis regions have wondered off
72,,Y - Dark images
83,,Y - Dark images
84,,Same as above because same set
85,,Same as above because same set
89,,Y - Dark images
90,,Same as above because same set
502,Maybe?,
505,,Really big analysis region
509,Maybe?,
514,Maybe?,
518,Maybe?,
522,Maybe?,
524,Maybe?,
539,Maybe?,