PLCKESZ,z,M500,E_M500,e_M500,Mg500,E_Mg500,e_Mg500,kT,E_kT,e_kT,kTexc,E_kTexc,e_kTexc,LX,E_LX,e_LX,LXexc,E_LXexc,e_LXexc,Lbol,E_Lbol,e_Lbol,Lbolexc,E_Lbolexc,e_Lbolexc,NT,fT,Nsb,fsb,Simbad,NED
G000.44-41.83,0.165,5.01,0.55,0.48,6.61,0.36,0.33,5.85,0.32,0.32,5.82,0.43,0.43,3.79,0.25,0.25,2.88,0.13,0.13,8.36,0.78,0.78,6.36,0.47,0.47,6,1.0,20,1.21,Simbad,NED
G002.74-56.18,0.141,4.96,0.43,0.28,5.63,0.21,0.14,5.36,0.12,0.12,5.39,0.18,0.18,4.47,0.16,0.16,2.71,0.07,0.07,9.96,0.49,0.49,6.03,0.23,0.23,10,0.94,49,1.08,Simbad,NED
G003.90-59.41,0.151,6.94,0.19,0.19,8.65,0.08,0.08,7.06,0.13,0.13,6.46,0.14,0.14,7.13,0.24,0.24,4.61,0.17,0.17,18.06,0.67,0.67,11.62,0.43,0.43,10,0.98,63,1.08,Simbad,NED
G006.70-35.54,0.089,2.42,0.04,0.03,4.27,0.05,0.08,4.72,0.08,0.08,4.62,0.09,0.09,2.44,0.09,0.09,2.08,0.08,0.08,4.67,0.25,0.25,3.98,0.21,0.21,15,1.14,45,1.18,Simbad,NED
G006.78+30.46,0.203,17.56,0.28,0.27,32.0,0.24,0.22,14.37,0.12,0.12,15.01,0.16,0.16,23.84,0.36,0.36,16.55,0.13,0.13,86.79,1.74,1.74,60.27,0.84,0.84,19,1.26,171,1.62,Simbad,NED
G008.44-56.35,0.149,3.61,0.08,0.07,4.64,0.05,0.04,5.12,0.08,0.08,4.91,0.1,0.1,3.47,0.12,0.12,2.31,0.08,0.08,6.78,0.34,0.34,4.54,0.22,0.22,8,1.1,41,1.24,Simbad,NED
G008.93-81.23,0.307,10.39,0.24,0.23,15.64,0.13,0.13,8.78,0.09,0.09,8.43,0.1,0.1,13.12,0.31,0.31,9.72,0.17,0.17,36.54,1.21,1.21,27.09,0.7,0.7,8,0.97,78,1.03,Simbad,NED
G021.09+33.25,0.151,6.88,0.2,0.18,10.45,0.32,0.35,6.25,0.14,0.14,8.77,0.31,0.31,16.07,0.18,0.18,6.84,0.1,0.1,38.83,0.55,0.55,16.51,0.25,0.25,10,1.21,86,1.24,Simbad,NED
G036.72+14.92,0.152,5.21,0.32,0.29,8.16,0.29,0.28,7.44,0.66,0.66,6.89,1.02,1.02,5.97,0.27,0.27,4.0,0.17,0.17,15.59,1.11,1.11,10.43,0.71,0.71,3,0.51,9,0.87,Simbad,NED
G039.85-39.98,0.176,3.77,0.47,0.17,5.32,0.36,0.17,5.89,0.14,0.14,5.82,0.16,0.16,2.91,0.12,0.12,2.02,0.1,0.1,6.54,0.32,0.32,5.69,0.28,0.28,7,1.22,71,1.43,Simbad,NED
G042.82+56.61,0.072,4.65,0.15,0.13,6.01,0.08,0.07,4.83,0.07,0.07,4.79,0.09,0.09,3.18,0.08,0.08,2.24,0.05,0.05,6.74,0.22,0.22,4.74,0.14,0.14,15,0.74,42,0.88,Simbad,NED
G046.08+27.18,0.389,6.26,0.61,0.48,9.9,0.35,0.3,5.93,0.3,0.3,5.65,0.29,0.29,7.51,0.41,0.41,6.26,0.28,0.28,17.12,1.47,1.47,14.28,1.1,1.1,3,1.08,15,1.17,Simbad,NED
G046.50-49.43,0.085,6.05,0.28,0.26,6.24,0.09,0.08,5.59,0.12,0.12,5.21,0.14,0.14,3.34,0.12,0.12,2.28,0.07,0.07,7.95,0.39,0.39,5.43,0.23,0.23,15,0.67,58,0.75,Simbad,NED
G049.20+30.86,0.164,5.86,0.16,0.16,6.51,0.07,0.07,5.47,0.08,0.08,6.28,0.17,0.17,8.7,0.18,0.18,3.83,0.06,0.06,22.46,0.74,0.74,9.89,0.29,0.29,8,0.99,24,0.99,Simbad,NED
G049.33+44.38,0.097,3.84,0.46,0.38,3.85,0.18,0.17,4.9,0.17,0.17,4.8,0.23,0.23,1.68,0.08,0.08,1.22,0.04,0.04,3.6,0.23,0.23,2.63,0.13,0.13,8,0.61,26,0.82,Simbad,NED
G049.66-49.50,0.098,4.81,0.21,0.19,4.41,0.08,0.08,4.64,0.08,0.08,4.81,0.14,0.14,3.44,0.12,0.12,1.74,0.05,0.05,7.26,0.33,0.33,3.67,0.15,0.15,10,0.68,36,0.68,Simbad,NED
G053.52+59.54,0.113,5.87,0.2,0.15,7.03,0.1,0.08,6.58,0.14,0.14,6.31,0.16,0.16,4.08,0.11,0.11,3.08,0.04,0.04,9.74,0.4,0.4,7.33,0.2,0.2,5,0.81,38,0.96,Simbad,NED
G055.60+31.86,0.224,6.54,0.18,0.15,9.41,0.12,0.1,7.39,0.11,0.11,7.3,0.14,0.14,10.06,0.3,0.3,5.34,0.21,0.21,25.87,0.85,0.85,13.65,0.56,0.56,9,1.03,53,1.1,Simbad,NED
G055.97-34.88,0.124,5.41,0.45,0.37,3.44,0.09,0.09,6.25,0.37,0.37,5.5,0.37,0.37,2.11,0.08,0.08,1.54,0.07,0.07,5.47,0.32,0.32,4.01,0.22,0.22,7,0.42,18,0.51,Simbad,NED
G056.81+36.31,0.095,3.98,0.08,0.07,5.12,0.04,0.04,4.98,0.05,0.05,4.83,0.07,0.07,4.34,0.12,0.12,2.35,0.06,0.06,9.3,0.31,0.31,5.05,0.17,0.17,15,1.01,99,1.1,Simbad,NED
G056.96-55.07,0.447,9.62,0.25,0.25,15.23,0.14,0.14,7.63,0.12,0.12,7.58,0.13,0.13,14.61,0.39,0.39,11.98,0.3,0.3,38.36,1.5,1.5,31.48,1.16,1.16,5,0.91,48,0.94,Simbad,NED
G057.26-45.35,0.397,13.17,0.64,0.65,18.61,0.29,0.28,10.39,0.33,0.33,9.99,0.44,0.44,25.32,0.73,0.73,12.75,0.27,0.27,82.81,4.14,4.14,41.7,1.75,1.75,5,0.91,32,1.0,Simbad,NED
G058.28+18.59,0.065,3.72,0.06,0.07,4.54,0.2,0.05,5.01,0.04,0.04,4.87,0.05,0.05,2.01,0.04,0.04,1.66,0.02,0.02,4.03,0.11,0.11,3.31,0.08,0.08,19,1.01,65,1.07,Simbad,NED
G062.42-46.41,0.091,3.26,0.39,0.15,2.87,0.13,0.12,4.25,0.08,0.08,4.28,0.12,0.12,1.42,0.05,0.05,1.15,0.04,0.04,2.65,0.13,0.13,2.14,0.1,0.1,8,0.41,30,0.56,Simbad,NED
G067.23+67.46,0.171,8.11,0.17,0.18,10.44,0.08,0.12,8.16,0.13,0.13,7.65,0.17,0.17,10.96,0.16,0.16,6.9,0.27,0.27,30.38,0.63,0.63,19.11,0.55,0.55,14,1.03,71,1.08,Simbad,NED
G071.61+29.79,0.157,4.24,0.76,0.59,5.32,0.51,0.43,4.88,0.36,0.36,4.93,0.42,0.42,2.44,0.15,0.15,2.2,0.12,0.12,4.58,0.39,0.39,4.13,0.32,0.32,4,0.95,15,1.05,Simbad,NED
G072.63+41.46,0.228,10.71,0.42,0.39,16.51,0.26,0.25,8.95,0.25,0.25,8.91,0.3,0.3,14.61,0.5,0.5,10.44,0.29,0.29,45.16,2.48,2.48,32.3,1.58,1.58,9,0.97,45,0.97,Simbad,NED
G072.80-18.72,0.143,5.33,0.17,0.12,8.25,0.11,0.08,5.93,0.09,0.09,5.99,0.12,0.12,5.69,0.19,0.19,3.99,0.13,0.13,13.32,0.59,0.59,9.35,0.38,0.38,12,0.93,45,0.93,Simbad,NED
G073.96-27.82,0.233,11.41,0.45,0.38,17.19,0.28,0.24,9.53,0.24,0.24,10.67,0.47,0.47,16.85,0.36,0.36,10.0,0.2,0.2,55.79,1.8,1.8,33.26,0.9,0.9,9,0.94,17,1.01,Simbad,NED
G080.38-33.20,0.107,3.66,0.07,0.06,3.83,0.03,0.03,5.41,0.07,0.07,4.82,0.08,0.08,2.19,0.04,0.04,1.46,0.02,0.02,4.87,0.12,0.12,3.26,0.06,0.06,12,0.97,99,1.15,Simbad,NED
G080.99-50.90,0.3,6.62,0.32,0.23,9.55,0.2,0.17,7.15,0.25,0.25,6.92,0.24,0.24,8.49,0.42,0.42,5.55,0.19,0.19,23.28,1.6,1.6,15.18,0.62,0.62,6,0.94,20,1.19,Simbad,NED
G083.28-31.03,0.412,7.68,0.47,0.38,12.48,0.3,0.25,7.24,0.31,0.31,7.02,0.34,0.34,11.78,0.4,0.4,8.31,0.17,0.17,30.61,1.9,1.9,21.26,0.83,0.83,6,1.17,19,1.5,Simbad,NED
G085.99+26.71,0.179,3.31,0.68,0.57,3.97,0.47,0.41,4.57,0.26,0.26,4.51,0.29,0.29,1.82,0.14,0.14,1.63,0.12,0.12,3.69,0.41,0.41,3.31,0.35,0.35,4,0.66,13,1.18,Simbad,NED
G086.45+15.29,0.26,5.74,0.33,0.25,9.3,0.21,0.18,7.14,0.29,0.29,6.82,0.38,0.38,11.38,0.41,0.41,6.45,0.1,0.1,27.51,1.4,1.4,17.61,0.42,0.42,7,1.1,22,1.16,Simbad,NED
G092.73+73.46,0.228,6.18,0.32,0.28,10.72,0.29,0.26,7.13,0.19,0.19,7.09,0.21,0.21,7.74,0.31,0.31,5.72,0.15,0.15,19.0,1.08,1.08,10.9,0.41,0.41,9,1.17,27,1.26,Simbad,NED
G093.91+34.90,0.081,4.68,0.71,0.5,5.49,0.44,0.33,5.36,0.81,0.81,5.31,0.21,0.21,3.43,0.24,0.24,2.86,0.19,0.19,7.57,0.66,0.66,5.46,0.36,0.36,7,0.85,44,1.07,Simbad,NED
G096.87+24.21,0.3,5.47,2.4,1.39,6.28,1.08,0.89,5.05,0.54,0.54,4.99,0.6,0.6,3.04,0.32,0.32,2.65,0.23,0.23,6.8,0.97,0.97,5.94,0.74,0.74,2,0.63,17,0.95,Simbad,NED
G097.73+38.11,0.171,4.21,0.21,0.2,6.87,0.17,0.16,6.38,0.11,0.11,6.07,0.14,0.14,5.24,0.13,0.13,3.77,0.05,0.05,12.26,0.43,0.43,8.84,0.19,0.19,9,1.0,18,1.07,Simbad,NED
G098.95+24.86,0.093,3.25,0.35,0.15,2.99,0.14,0.07,4.97,0.2,0.2,4.94,0.28,0.28,1.28,0.06,0.06,0.86,0.03,0.03,2.77,0.19,0.19,1.87,0.11,0.11,8,0.72,22,0.74,Simbad,NED
G106.73-83.22,0.292,5.18,0.36,0.29,8.31,0.26,0.22,6.7,0.25,0.25,6.53,0.28,0.28,8.28,0.3,0.3,5.68,0.1,0.1,18.64,1.27,1.27,12.8,0.5,0.5,4,0.51,14,0.78,Simbad,NED
G107.11+65.31,0.292,7.26,0.75,0.67,6.94,0.3,0.28,6.64,0.49,0.49,6.78,0.69,0.69,10.02,0.56,0.56,9.03,0.42,0.42,27.55,3.06,3.06,24.83,2.38,2.38,6,0.8,25,1.0,Simbad,NED
G113.82+44.35,0.225,3.87,0.32,0.21,5.7,0.28,0.22,5.29,0.3,0.3,5.43,0.34,0.34,3.73,0.22,0.22,3.14,0.14,0.14,7.95,0.68,0.68,6.68,0.45,0.45,4,0.64,19,0.89,Simbad,NED
G124.21-36.48,0.197,5.81,0.57,0.62,7.81,0.29,0.33,4.78,0.11,0.11,5.81,0.16,0.16,3.89,0.14,0.14,2.42,0.06,0.06,7.91,0.34,0.34,4.94,0.16,0.16,9,0.81,23,1.23,Simbad,NED
G125.70+53.85,0.302,6.78,0.69,0.65,9.64,0.43,0.43,6.84,0.44,0.44,6.99,0.58,0.58,6.94,0.39,0.39,4.93,0.14,0.14,18.07,1.81,1.81,12.02,0.7,0.7,5,0.96,14,1.15,Simbad,NED
G139.19+56.35,0.322,7.42,5.68,1.68,10.23,1.42,0.8,6.1,0.57,0.57,6.32,0.69,0.69,6.47,0.56,0.56,5.45,0.38,0.38,16.18,1.83,1.83,13.66,1.07,1.07,4,0.39,15,0.63,Simbad,NED
G149.73+34.69,0.182,7.12,0.71,0.63,11.68,0.57,0.55,7.39,0.42,0.42,7.15,0.51,0.51,8.46,0.36,0.36,5.96,0.15,0.15,22.1,1.79,1.79,15.61,0.81,0.81,6,0.59,11,0.72,Simbad,NED
G157.43+30.33,0.45,6.23,0.52,0.42,9.64,0.35,0.31,7.54,0.58,0.58,7.06,0.59,0.59,8.01,0.27,0.27,6.15,0.23,0.23,21.05,1.57,1.57,16.26,1.14,1.14,3,1.0,13,1.13,Simbad,NED
G159.85-73.47,0.206,6.73,0.64,0.7,9.88,0.41,0.47,5.89,0.57,0.57,5.82,0.83,0.83,6.86,0.27,0.27,4.8,0.11,0.11,16.15,0.9,0.9,11.29,0.37,0.37,10,1.09,34,1.09,Simbad,NED
G164.18-38.89,0.074,5.07,0.45,0.22,6.3,0.28,0.15,6.52,0.15,0.15,6.5,0.18,0.18,4.16,0.19,0.19,3.3,0.13,0.13,8.83,0.47,0.47,7.01,0.34,0.34,13,0.7,66,1.01,Simbad,NED
G166.13+43.39,0.217,6.86,0.48,0.41,8.68,0.22,0.19,6.56,0.21,0.21,6.3,0.29,0.29,6.83,0.22,0.22,4.18,0.11,0.11,16.37,0.51,0.51,10.02,0.37,0.37,6,0.76,15,0.83,Simbad,NED
G167.65+17.64,0.174,5.88,0.4,0.3,9.25,0.26,0.21,6.28,0.2,0.2,6.02,0.23,0.23,6.41,0.25,0.25,4.74,0.11,0.11,13.84,0.76,0.76,10.24,0.36,0.36,11,0.77,29,0.97,Simbad,NED
G171.94-40.65,0.27,12.33,3.45,2.12,15.02,0.96,0.75,9.79,0.45,0.45,9.37,0.49,0.49,11.21,0.36,0.36,7.32,0.18,0.18,32.74,2.28,2.28,21.47,0.26,0.26,4,0.34,11,0.54,Simbad,NED
G180.24+21.04,0.546,12.58,0.53,0.68,23.47,0.36,0.5,10.12,0.25,0.25,9.96,0.27,0.27,23.81,0.78,0.78,17.95,0.47,0.47,72.74,3.61,3.61,54.55,2.36,2.36,5,0.95,33,1.58,Simbad,NED
G182.44-28.29,0.088,6.93,0.17,0.18,9.58,0.11,0.2,7.53,0.12,0.12,7.13,0.32,0.32,12.18,0.11,0.11,4.69,0.01,0.01,33.55,0.44,0.44,12.89,0.08,0.08,26,0.99,65,1.1,Simbad,NED
G182.63+55.82,0.206,4.77,0.26,0.16,6.88,0.15,0.1,5.71,0.11,0.11,5.54,0.15,0.15,6.06,0.2,0.2,3.18,0.07,0.07,13.9,0.65,0.65,7.28,0.25,0.25,8,0.97,40,1.34,Simbad,NED
G186.39+37.25,0.282,9.28,1.19,0.89,12.49,0.61,0.52,8.77,1.4,1.4,7.38,1.58,1.58,11.61,0.6,0.6,8.27,0.5,0.5,30.83,2.56,2.56,22.24,1.51,1.51,1,0.57,4,0.84,Simbad,NED
G195.62+44.05,0.295,5.82,0.72,0.49,8.77,0.49,0.36,5.26,0.13,0.13,5.26,0.15,0.15,4.82,0.21,0.21,4.1,0.15,0.15,10.3,0.58,0.58,8.77,0.43,0.43,6,0.97,32,1.06,Simbad,NED
G195.77-24.30,0.203,6.67,0.32,0.22,11.14,0.24,0.16,6.8,0.18,0.18,6.84,0.21,0.21,6.95,0.24,0.24,5.84,0.19,0.19,17.45,1.03,1.03,14.67,0.81,0.81,12,1.03,47,1.26,Simbad,NED
G218.85+35.50,0.175,3.86,0.45,0.41,4.3,0.2,0.19,4.48,0.31,0.31,4.17,0.54,0.54,3.05,0.17,0.17,1.72,0.06,0.06,6.52,0.46,0.46,3.68,0.18,0.18,5,0.44,26,1.14,Simbad,NED
