name,planck_ra,planck_dec,xmm_ra,xmm_dec,z,r500,m500,m500+,m500-,mg500,mg500+,mg500-,Tx,Tx+,Tx-,Txce,Txce+,Txce-,Lx124,Lx124+,Lx124-,Lx124ce,Lx124ce+,Lx124ce-,Lxbol,Lxbol+,Lxbol-,Lxbolce,Lxbolce+,Lxbolce-,NT,fT,Nsb,fsb
G000.44-41.83,316.051,-41.325,316.076,-41.3459,0.165,1114,5.01,0.55,0.48,6.61,0.36,0.33,5.85,0.32,0.32,5.82,0.43,0.43,3.79,0.25,0.25,2.88,0.13,0.13,8.36,0.78,0.78,6.36,0.47,0.47,6,1.0,20,1.21
G002.74-56.18,334.681,-38.892,334.66592,-38.8999,0.141,1106,4.96,0.43,0.28,5.63,0.21,0.14,5.36,0.12,0.12,5.39,0.18,0.18,4.47,0.16,0.16,2.71,0.07,0.07,9.96,0.49,0.49,6.03,0.23,0.23,10,0.94,49,1.08
G003.90-59.41,338.618,-37.752,338.6165,-37.731483,0.151,1270,6.94,0.19,0.19,8.65,0.08,0.08,7.06,0.13,0.13,6.46,0.14,0.14,7.13,0.24,0.24,4.61,0.17,0.17,18.06,0.67,0.67,11.62,0.43,0.43,10,0.98,63,1.08
G006.70-35.54,308.691,-35.81,308.68604,-35.816757,0.089,1065,2.42,0.04,0.03,4.27,0.05,0.08,4.72,0.08,0.08,4.62,0.09,0.09,2.44,0.09,0.09,2.08,0.08,0.08,4.67,0.25,0.25,3.98,0.21,0.21,15,1.14,45,1.18
G006.78+30.46,243.952,-6.132,243.93959,-6.150542,0.203,1817,17.56,0.28,0.27,32.0,0.24,0.22,14.37,0.12,0.12,15.01,0.16,0.16,23.84,0.36,0.36,16.55,0.13,0.13,86.79,1.74,1.74,60.27,0.84,0.84,19,1.26,171,1.62
G008.44-56.35,334.462,-35.729,334.44,-35.725,0.149,1061,3.61,0.08,0.07,4.64,0.05,0.04,5.12,0.08,0.08,4.91,0.1,0.1,3.47,0.12,0.12,2.31,0.08,0.08,6.78,0.34,0.34,4.54,0.22,0.22,8,1.1,41,1.24
G008.93-81.23,3.576,-30.384,3.5788963,-30.392065,0.307,1360,10.39,0.24,0.23,15.64,0.13,0.13,8.78,0.09,0.09,8.43,0.1,0.1,13.12,0.31,0.31,9.72,0.17,0.17,36.54,1.21,1.21,27.09,0.7,0.7,8,0.97,78,1.03
G021.09+33.25,248.179,5.587,248.19499,5.575986,0.151,1323,6.88,0.2,0.18,10.45,0.32,0.35,6.25,0.14,0.14,8.77,0.31,0.31,16.07,0.18,0.18,6.84,0.1,0.1,38.83,0.55,0.55,16.51,0.25,0.25,10,1.21,86,1.24
G036.72+14.92,271.136,10.036,271.13034,10.056985,0.152,1241,5.21,0.32,0.29,8.16,0.29,0.28,7.44,0.66,0.66,6.89,1.02,1.02,5.97,0.27,0.27,4.0,0.17,0.17,15.59,1.11,1.11,10.43,0.71,0.71,3,0.51,9,0.87
G039.85-39.98,321.776,-12.169,321.80273,-12.162844,0.176,1077,3.77,0.47,0.17,5.32,0.36,0.17,5.89,0.14,0.14,5.82,0.16,0.16,2.91,0.12,0.12,2.02,0.1,0.1,6.54,0.32,0.32,5.69,0.28,0.28,7,1.22,71,1.43
G042.82+56.61,230.61,27.703,230.62225,27.70657,0.072,1189,4.65,0.15,0.13,6.01,0.08,0.07,4.83,0.07,0.07,4.79,0.09,0.09,3.18,0.08,0.08,2.24,0.05,0.05,6.74,0.22,0.22,4.74,0.14,0.14,15,0.74,42,0.88
G046.08+27.18,262.918,22.855,262.911,22.865986,0.389,1148,6.26,0.61,0.48,9.9,0.35,0.3,5.93,0.3,0.3,5.65,0.29,0.29,7.51,0.41,0.41,6.26,0.28,0.28,17.12,1.47,1.47,14.28,1.1,1.1,3,1.08,15,1.17
G046.50-49.43,332.573,-12.158,332.57672,-12.170207,0.085,1194,6.05,0.28,0.26,6.24,0.09,0.08,5.59,0.12,0.12,5.21,0.14,0.14,3.34,0.12,0.12,2.28,0.07,0.07,7.95,0.39,0.39,5.43,0.23,0.23,15,0.67,58,0.75
G049.20+30.86,260.032,26.614,260.04105,26.625568,0.164,1241,5.86,0.16,0.16,6.51,0.07,0.07,5.47,0.08,0.08,6.28,0.17,0.17,8.7,0.18,0.18,3.83,0.06,0.06,22.46,0.74,0.74,9.89,0.29,0.29,8,0.99,24,0.99
G049.33+44.38,245.13,29.905,245.127,29.8934,0.097,1049,3.84,0.46,0.38,3.85,0.18,0.17,4.9,0.17,0.17,4.8,0.23,0.23,1.68,0.08,0.08,1.22,0.04,0.04,3.6,0.23,0.23,2.63,0.13,0.13,8,0.61,26,0.82
G049.66-49.50,333.647,-10.392,333.63214,-10.371457,0.098,1090,4.81,0.21,0.19,4.41,0.08,0.08,4.64,0.08,0.08,4.81,0.14,0.14,3.44,0.12,0.12,1.74,0.05,0.05,7.26,0.33,0.33,3.67,0.15,0.15,10,0.68,36,0.68
G053.52+59.54,227.534,33.485,227.5509,33.51046,0.113,1189,5.87,0.2,0.15,7.03,0.1,0.08,6.58,0.14,0.14,6.31,0.16,0.16,4.08,0.11,0.11,3.08,0.04,0.04,9.74,0.4,0.4,7.33,0.2,0.2,5,0.81,38,0.96
G055.60+31.86,260.612,32.143,260.61337,32.13243,0.224,1234,6.54,0.18,0.15,9.41,0.12,0.1,7.39,0.11,0.11,7.3,0.14,0.14,10.06,0.3,0.3,5.34,0.21,0.21,25.87,0.85,0.85,13.65,0.56,0.56,9,1.03,53,1.1
G055.97-34.88,323.827,1.431,323.8168,1.415208,0.124,1110,5.41,0.45,0.37,3.44,0.09,0.09,6.25,0.37,0.37,5.5,0.37,0.37,2.11,0.08,0.08,1.54,0.07,0.07,5.47,0.32,0.32,4.01,0.22,0.22,7,0.42,18,0.51
G056.81+36.31,255.678,34.081,255.67712,34.061237,0.095,1098,3.98,0.08,0.07,5.12,0.04,0.04,4.98,0.05,0.05,4.83,0.07,0.07,4.34,0.12,0.12,2.35,0.06,0.06,9.3,0.31,0.31,5.05,0.17,0.17,15,1.01,99,1.1
G056.96-55.07,340.841,-9.577,340.83676,-9.594484,0.447,1255,9.62,0.25,0.25,15.23,0.14,0.14,7.63,0.12,0.12,7.58,0.13,0.13,14.61,0.39,0.39,11.98,0.3,0.3,38.36,1.5,1.5,31.48,1.16,1.16,5,0.91,48,0.94
G057.26-45.35,332.943,-3.825,332.94095,-3.8297913,0.397,1334,13.17,0.64,0.65,18.61,0.29,0.28,10.39,0.33,0.33,9.99,0.44,0.44,25.32,0.73,0.73,12.75,0.27,0.27,82.81,4.14,4.14,41.7,1.75,1.75,5,0.91,32,1.0
G058.28+18.59,276.283,30.434,276.33435,30.437153,0.065,1028,3.72,0.06,0.07,4.54,0.2,0.05,5.01,0.04,0.04,4.87,0.05,0.05,2.01,0.04,0.04,1.66,0.02,0.02,4.03,0.11,0.11,3.31,0.08,0.08,19,1.01,65,1.07
G062.42-46.41,335.965,-1.617,335.9492,-1.6499301,0.091,998,3.26,0.39,0.15,2.87,0.13,0.12,4.25,0.08,0.08,4.28,0.12,0.12,1.42,0.05,0.05,1.15,0.04,0.04,2.65,0.13,0.13,2.14,0.1,0.1,8,0.41,30,0.56
G067.23+67.46,216.493,37.834,216.51192,37.825207,0.171,1334,8.11,0.17,0.18,10.44,0.08,0.12,8.16,0.13,0.13,7.65,0.17,0.17,10.96,0.16,0.16,6.9,0.27,0.27,30.38,0.63,0.63,19.11,0.55,0.55,14,1.03,71,1.08
G071.61+29.79,266.803,45.178,266.78748,45.212845,0.157,1039,4.24,0.76,0.59,5.32,0.51,0.43,4.88,0.36,0.36,4.93,0.42,0.42,2.44,0.15,0.15,2.2,0.12,0.12,4.58,0.39,0.39,4.13,0.32,0.32,4,0.95,15,1.05
G072.63+41.46,250.097,46.713,250.0831,46.710957,0.228,1475,10.71,0.42,0.39,16.51,0.26,0.25,8.95,0.25,0.25,8.91,0.3,0.3,14.61,0.5,0.5,10.44,0.29,0.29,45.16,2.48,2.48,32.3,1.58,1.58,9,0.97,45,0.97
G072.80-18.72,320.594,23.203,320.61304,23.197706,0.143,1249,5.33,0.17,0.12,8.25,0.11,0.08,5.93,0.09,0.09,5.99,0.12,0.12,5.69,0.19,0.19,3.99,0.13,0.13,13.32,0.59,0.59,9.35,0.38,0.38,12,0.93,45,0.93
G073.96-27.82,328.412,17.693,328.40347,17.694958,0.233,1492,11.41,0.45,0.38,17.19,0.28,0.24,9.53,0.24,0.24,10.67,0.47,0.47,16.85,0.36,0.36,10.0,0.2,0.2,55.79,1.8,1.8,33.26,0.9,0.9,9,0.94,17,1.01
G080.38-33.20,336.495,17.391,336.52594,17.363567,0.107,1053,3.66,0.07,0.06,3.83,0.03,0.03,5.41,0.07,0.07,4.82,0.08,0.08,2.19,0.04,0.04,1.46,0.02,0.02,4.87,0.12,0.12,3.26,0.06,0.06,12,0.97,99,1.15
G080.99-50.90,347.881,3.645,347.88742,3.6344292,0.3,1208,6.62,0.32,0.23,9.55,0.2,0.17,7.15,0.25,0.25,6.92,0.24,0.24,8.49,0.42,0.42,5.55,0.19,0.19,23.28,1.6,1.6,15.18,0.62,0.62,6,0.94,20,1.19
G083.28-31.03,337.118,20.619,337.14044,20.621124,0.412,1242,7.68,0.47,0.38,12.48,0.3,0.25,7.24,0.31,0.31,7.02,0.34,0.34,11.78,0.4,0.4,8.31,0.17,0.17,30.61,1.9,1.9,21.26,0.83,0.83,6,1.17,19,1.5
G085.99+26.71,274.963,57.188,274.97604,57.15626,0.179,1011,3.31,0.68,0.57,3.97,0.47,0.41,4.57,0.26,0.26,4.51,0.29,0.29,1.82,0.14,0.14,1.63,0.12,0.12,3.69,0.41,0.41,3.31,0.35,0.35,4,0.66,13,1.18
G086.45+15.29,294.566,54.154,294.5756,54.16078,0.26,1270,5.74,0.33,0.25,9.3,0.21,0.18,7.14,0.29,0.29,6.82,0.38,0.38,11.38,0.41,0.41,6.45,0.1,0.1,27.51,1.4,1.4,17.61,0.42,0.42,7,1.1,22,1.16
G092.73+73.46,203.797,41.001,203.82578,41.001762,0.228,1271,6.18,0.32,0.28,10.72,0.29,0.26,7.13,0.19,0.19,7.09,0.21,0.21,7.74,0.31,0.31,5.72,0.15,0.15,19.0,1.08,1.08,10.9,0.41,0.41,9,1.17,27,1.26
G093.91+34.90,258.237,64.055,258.2119,64.0599,0.081,1211,4.68,0.71,0.5,5.49,0.44,0.33,5.36,0.81,0.81,5.31,0.21,0.21,3.43,0.24,0.24,2.86,0.19,0.19,7.57,0.66,0.66,5.46,0.36,0.36,7,0.85,44,1.07
G096.87+24.21,284.076,66.382,284.1458,66.40083,0.3,1074,5.47,2.4,1.39,6.28,1.08,0.89,5.05,0.54,0.54,4.99,0.6,0.6,3.04,0.32,0.32,2.65,0.23,0.23,6.8,0.97,0.97,5.94,0.74,0.74,2,0.63,17,0.95
G097.73+38.11,248.988,66.214,248.96004,66.21331,0.171,1179,4.21,0.21,0.2,6.87,0.17,0.16,6.38,0.11,0.11,6.07,0.14,0.14,5.24,0.13,0.13,3.77,0.05,0.05,12.26,0.43,0.43,8.84,0.19,0.19,9,1.0,18,1.07
G098.95+24.86,283.457,68.358,283.5095,68.38335,0.093,995,3.25,0.35,0.15,2.99,0.14,0.07,4.97,0.2,0.2,4.94,0.28,0.28,1.28,0.06,0.06,0.86,0.03,0.03,2.77,0.19,0.19,1.87,0.11,0.11,8,0.72,22,0.74
G106.73-83.22,10.844,-20.609,10.8525,-20.621319,0.292,1132,5.18,0.36,0.29,8.31,0.26,0.22,6.7,0.25,0.25,6.53,0.28,0.28,8.28,0.3,0.3,5.68,0.1,0.1,18.64,1.27,1.27,12.8,0.5,0.5,4,0.51,14,0.78
G107.11+65.31,203.177,50.528,203.15958,50.56223,0.292,1186,7.26,0.75,0.67,6.94,0.3,0.28,6.64,0.49,0.49,6.78,0.69,0.69,10.02,0.56,0.56,9.03,0.42,0.42,27.55,3.06,3.06,24.83,2.38,2.38,6,0.8,25,1.0
G113.82+44.35,213.522,71.287,213.48541,71.29787,0.225,1139,3.87,0.32,0.21,5.7,0.28,0.22,5.29,0.3,0.3,5.43,0.34,0.34,3.73,0.22,0.22,3.14,0.14,0.14,7.95,0.68,0.68,6.68,0.45,0.45,4,0.64,19,0.89
G124.21-36.48,14.014,26.374,13.959568,26.410261,0.197,1072,5.81,0.57,0.62,7.81,0.29,0.33,4.78,0.11,0.11,5.81,0.16,0.16,3.89,0.14,0.14,2.42,0.06,0.06,7.91,0.34,0.34,4.94,0.16,0.16,9,0.81,23,1.23
G125.70+53.85,189.231,63.193,189.24153,63.18751,0.302,1197,6.78,0.69,0.65,9.64,0.43,0.43,6.84,0.44,0.44,6.99,0.58,0.58,6.94,0.39,0.39,4.93,0.14,0.14,18.07,1.81,1.81,12.02,0.7,0.7,5,0.96,14,1.15
G139.19+56.35,175.565,58.534,175.60281,58.53612,0.322,1228,7.42,5.68,1.68,10.23,1.42,0.8,6.1,0.57,0.57,6.32,0.69,0.69,6.47,0.56,0.56,5.45,0.38,0.38,16.18,1.83,1.83,13.66,1.07,1.07,4,0.39,15,0.63
G149.73+34.69,127.753,65.878,127.74059,65.84018,0.182,1353,7.12,0.71,0.63,11.68,0.57,0.55,7.39,0.42,0.42,7.15,0.51,0.51,8.46,0.36,0.36,5.96,0.15,0.15,22.1,1.79,1.79,15.61,0.81,0.81,6,0.59,11,0.72
G157.43+30.33,117.221,59.694,117.21581,59.700066,0.45,1125,6.23,0.52,0.42,9.64,0.35,0.31,7.54,0.58,0.58,7.06,0.59,0.59,8.01,0.27,0.27,6.15,0.23,0.23,21.05,1.57,1.57,16.26,1.14,1.14,3,1.0,13,1.13
G159.85-73.47,22.986,-13.577,22.9734,-13.6113,0.206,1245,6.73,0.64,0.7,9.88,0.41,0.47,5.89,0.57,0.57,5.82,0.83,0.83,6.86,0.27,0.27,4.8,0.11,0.11,16.15,0.9,0.9,11.29,0.37,0.37,10,1.09,34,1.09
G164.18-38.89,44.726,13.56,44.472477,13.030041,0.074,1119,5.07,0.45,0.22,6.3,0.28,0.15,6.52,0.15,0.15,6.5,0.18,0.18,4.16,0.19,0.19,3.3,0.13,0.13,8.83,0.47,0.47,7.01,0.34,0.34,13,0.7,66,1.01
G166.13+43.39,139.493,51.693,139.4665,51.728043,0.217,1250,6.86,0.48,0.41,8.68,0.22,0.19,6.56,0.21,0.21,6.3,0.29,0.29,6.83,0.22,0.22,4.18,0.11,0.11,16.37,0.51,0.51,10.02,0.37,0.37,6,0.76,15,0.83
G167.65+17.64,99.539,47.801,99.51844,47.79857,0.174,1299,5.88,0.4,0.3,9.25,0.26,0.21,6.28,0.2,0.2,6.02,0.23,0.23,6.41,0.25,0.25,4.74,0.11,0.11,13.84,0.76,0.76,10.24,0.36,0.36,11,0.77,29,0.97
G171.94-40.65,48.231,8.38,48.2378,8.37047,0.27,1408,12.33,3.45,2.12,15.02,0.96,0.75,9.79,0.45,0.45,9.37,0.49,0.49,11.21,0.36,0.36,7.32,0.18,0.18,32.74,2.28,2.28,21.47,0.26,0.26,4,0.34,11,0.54
G180.24+21.04,109.378,37.761,109.37876,37.75982,0.546,1358,12.58,0.53,0.68,23.47,0.36,0.5,10.12,0.25,0.25,9.96,0.27,0.27,23.81,0.78,0.78,17.95,0.47,0.47,72.74,3.61,3.61,54.55,2.36,2.36,5,0.95,33,1.58
G182.44-28.29,63.353,10.452,63.354626,10.465483,0.088,1415,6.93,0.17,0.18,9.58,0.11,0.2,7.53,0.12,0.12,7.13,0.32,0.32,12.18,0.11,0.11,4.69,0.01,0.01,33.55,0.44,0.44,12.89,0.08,0.08,26,0.99,65,1.1
G182.63+55.82,154.238,39.009,154.26369,39.048405,0.206,1126,4.77,0.26,0.16,6.88,0.15,0.1,5.71,0.11,0.11,5.54,0.15,0.15,6.06,0.2,0.2,3.18,0.07,0.07,13.9,0.65,0.65,7.28,0.25,0.25,8,0.97,40,1.34
G186.39+37.25,130.734,36.336,130.73819,36.367596,0.282,1280,9.28,1.19,0.89,12.49,0.61,0.52,8.77,1.4,1.4,7.38,1.58,1.58,11.61,0.6,0.6,8.27,0.5,0.5,30.83,2.56,2.56,22.24,1.51,1.51,1,0.57,4,0.84
G195.62+44.05,140.086,30.487,140.11205,30.491688,0.295,1105,5.82,0.72,0.49,8.77,0.49,0.36,5.26,0.13,0.13,5.26,0.15,0.15,4.82,0.21,0.21,4.1,0.15,0.15,10.3,0.58,0.58,8.77,0.43,0.43,6,0.97,32,1.06
G195.77-24.30,73.546,2.958,73.53379,2.9116528,0.203,1314,6.67,0.32,0.22,11.14,0.24,0.16,6.8,0.18,0.18,6.84,0.21,0.21,6.95,0.24,0.24,5.84,0.19,0.19,17.45,1.03,1.03,14.67,0.81,0.81,12,1.03,47,1.26
G218.85+35.50,137.298,10.956,137.3027,10.975764,0.175,1050,3.86,0.45,0.41,4.3,0.2,0.19,4.48,0.31,0.31,4.17,0.54,0.54,3.05,0.17,0.17,1.72,0.06,0.06,6.52,0.46,0.46,3.68,0.18,0.18,5,0.44,26,1.14
